Bin name	Completeness	Genome size	GC content
ERR209749.018.fasta	45.8%	1945218	44.5
ERR209749.019.fasta	90.7%	3452633	57.5
ERR209749.020.fasta	26.2%	3264495	53.5
ERR209749.021.fasta	68.2%	1910210	41.2
ERR209749.022.fasta	24.3%	1610524	47.3
ERR209749.023.fasta	73.8%	3173922	46.1
ERR209749.024.fasta	53.3%	5211659	47.5
ERR209749.025.fasta	79.4%	1464763	39.2
ERR209749.026.fasta	46.7%	2958232	31.0
Bin name	Completeness	Genome size	GC content
ERR209812.001.fasta	0.9%	334538	42.0
ERR209812.002.fasta	70.1%	4997776	47.1
ERR209812.003.fasta	90.7%	5260731	41.1
ERR209812.004.fasta	72.9%	2799480	48.3
ERR209812.005.fasta	98.1%	4626989	37.2
ERR209812.006.fasta	73.8%	4385533	45.1
ERR209812.007.fasta	96.3%	2963691	42.9
ERR209812.008.fasta	93.5%	2405624	50.9
ERR209812.009.fasta	54.2%	7599915	43.4
ERR209812.010.fasta	77.6%	2457677	60.6
ERR209812.011.fasta	97.2%	1991805	41.2
ERR209812.012.fasta	57.9%	7816042	39.1
ERR209812.013.fasta	93.5%	1850010	45.8
ERR209812.014.fasta	43.0%	2483651	56.8
ERR209812.015.fasta	63.6%	1864454	42.4
ERR209812.016.fasta	93.5%	4776109	40.4
ERR209812.017.fasta	37.4%	4004437	33.7
ERR209812.018.fasta	56.1%	4414983	43.5
ERR209812.019.fasta	56.1%	6468085	48.5
ERR209812.020.fasta	31.8%	3825898	43.5
ERR209812.021.fasta	86.0%	3183695	55.6
ERR209812.022.fasta	47.7%	2493060	40.6
ERR209812.023.fasta	60.7%	2256891	44.1
Bin name	Completeness	Genome size	GC content
SRR5935749.001.fasta	0.0%	113860	32.2
SRR5935749.002.fasta	0.0%	549814	47.0
SRR5935749.003.fasta	95.3%	4090359	41.3
SRR5935749.004.fasta	72.0%	4903720	46.8
SRR5935749.005.fasta	85.0%	4296000	45.6
SRR5935749.006.fasta	98.1%	2469534	54.1
SRR5935749.007.fasta	73.8%	4107243	42.5
SRR5935749.008.fasta	66.4%	4922370	41.0
SRR5935749.009.fasta	63.6%	6331038	42.8
SRR5935749.010.fasta	94.4%	3102272	43.6
SRR5935749.011.fasta	93.5%	3006670	58.9
SRR5935749.012.fasta	47.7%	7528502	38.7
SRR5935749.013.fasta	67.3%	10228463	45.9
SRR5935749.014.fasta	30.8%	2414253	46.5
SRR5935749.015.fasta	72.9%	1566909	57.4
Bin name	Completeness	Genome size	GC content
SRR5935767.001.fasta	95.3%	3916043	44.8
SRR5935767.002.fasta	98.1%	7280854	42.9
Bin name	Completeness	Genome size	GC content
SRR5935812.001.fasta	0.0%	319689	46.4
SRR5935812.002.fasta	99.1%	5199586	42.0
SRR5935812.003.fasta	96.3%	3053977	55.5
SRR5935812.004.fasta	87.9%	7470671	46.8
SRR5935812.005.fasta	73.8%	6579688	41.2
SRR5935812.006.fasta	93.5%	3767100	58.3
SRR5935812.007.fasta	36.4%	3806253	44.9
SRR5935812.008.fasta	46.7%	4883554	43.1
SRR5935812.009.fasta	48.6%	4746032	37.2
SRR5935812.010.fasta	52.3%	3684286	49.1
SRR5935812.011.fasta	67.3%	3637098	46.1
SRR5935812.012.fasta	82.2%	4681509	42.6
Bin name	Completeness	Genome size	GC content
SRR5935915.001.fasta	0.0%	122307	32.4
SRR5935915.002.fasta	0.0%	335875	45.4
SRR5935915.003.fasta	98.1%	5355303	46.3
SRR5935915.004.fasta	99.1%	2804073	56.5
SRR5935915.005.fasta	96.3%	3378758	45.7
SRR5935915.006.fasta	83.2%	1758961	46.4
SRR5935915.007.fasta	98.1%	5182281	41.8
SRR5935915.008.fasta	98.1%	4153476	53.9
SRR5935915.009.fasta	76.6%	2929008	59.8
SRR5935915.010.fasta	95.3%	3434208	57.9
SRR5935915.011.fasta	43.0%	7294598	38.8
SRR5935915.012.fasta	70.1%	8806880	45.4
SRR5935915.013.fasta	47.7%	3041763	46.5
Bin name	Completeness	Genome size	GC content
SRR5935966.001.fasta	0.0%	193053	33.2
SRR5935966.002.fasta	1.9%	1008499	45.2
SRR5935966.003.fasta	100.0%	5612082	42.3
SRR5935966.004.fasta	90.7%	3143187	57.4
SRR5935966.005.fasta	63.6%	2299427	57.6
SRR5935966.006.fasta	95.3%	3066256	57.0
SRR5935966.007.fasta	66.4%	4396601	44.4
SRR5935966.008.fasta	42.1%	1774742	59.8
SRR5935966.009.fasta	86.9%	4584018	59.7
SRR5935966.010.fasta	97.2%	3491412	36.0
SRR5935966.011.fasta	73.8%	3369164	48.0
SRR5935966.012.fasta	76.6%	4590008	43.9
SRR5935966.013.fasta	65.4%	3654741	45.9
SRR5935966.014.fasta	65.4%	4158200	49.3
SRR5935966.015.fasta	68.2%	2271461	43.4
SRR5935966.016.fasta	72.9%	3694202	56.5
SRR5935966.017.fasta	80.4%	2835467	52.3
SRR5935966.018.fasta	68.2%	6178722	39.0
SRR5935966.019.fasta	71.0%	1209269	42.9
SRR5935966.020.fasta	29.9%	2982050	48.2
SRR5935966.021.fasta	47.7%	1952989	51.3
Bin name	Completeness	Genome size	GC content
SRR5935997.001.fasta	100.0%	4783015	42.2
SRR5935997.002.fasta	99.1%	5018155	50.6
SRR5935997.003.fasta	99.1%	5238464	50.3
Bin name	Completeness	Genome size	GC content
SRR5936062.001.fasta	95.3%	6386675	49.4
SRR5936062.002.fasta	99.1%	2784542	37.7
SRR5936062.003.fasta	98.1%	3365527	47.0
SRR5936062.004.fasta	98.1%	3303475	62.1
SRR5936062.005.fasta	90.7%	5975946	49.0
SRR5936062.006.fasta	98.1%	4918959	51.1
SRR5936062.007.fasta	71.0%	2373757	44.3
SRR5936062.008.fasta	30.8%	1924915	40.4
SRR5936062.009.fasta	90.7%	3611413	39.5
SRR5936062.010.fasta	69.2%	2639953	31.4
SRR5936062.011.fasta	53.3%	2200268	27.9
SRR5936062.012.fasta	32.7%	4685121	51.0
Bin name	Completeness	Genome size	GC content
SRR5936104.001.fasta	5.6%	570960	41.3
SRR5936104.002.fasta	55.1%	3808021	46.5
SRR5936104.003.fasta	71.0%	5016805	44.9
SRR5936104.004.fasta	100.0%	5331409	41.7
SRR5936104.005.fasta	97.2%	2837751	42.8
SRR5936104.006.fasta	97.2%	3208710	58.7
SRR5936104.007.fasta	86.0%	2207468	54.9
SRR5936104.008.fasta	83.2%	3835389	45.7
SRR5936104.009.fasta	71.0%	2473187	59.6
SRR5936104.010.fasta	46.7%	4939851	50.4
SRR5936104.011.fasta	96.3%	2301837	41.3
SRR5936104.012.fasta	68.2%	7421957	40.9
SRR5936104.013.fasta	69.2%	3817647	45.7
SRR5936104.014.fasta	42.1%	4705276	45.3
SRR5936104.015.fasta	29.0%	4290949	36.6
SRR5936104.016.fasta	38.3%	3651861	44.5
SRR5936104.017.fasta	3.7%	260293	57.9
SRR5936104.018.fasta	71.0%	2709113	57.8
SRR5936104.019.fasta	60.7%	2796775	58.8
Bin name	Completeness	Genome size	GC content
SRR5936191.001.fasta	95.3%	3635073	43.3
SRR5936191.002.fasta	98.1%	2404104	38.7
SRR5936191.003.fasta	9.3%	2006439	49.2
SRR5936191.004.fasta	96.3%	1850821	27.8
SRR5936191.005.fasta	58.9%	1975350	60.6
SRR5936191.006.fasta	44.9%	2496803	57.6
SRR5936191.007.fasta	4.7%	739259	42.4
SRR5936191.008.fasta	30.8%	318325	41.0
SRR5936191.009.fasta	7.5%	397601	40.3
SRR5936191.010.fasta	15.0%	880510	43.0
SRR5936191.011.fasta	97.2%	2496942	43.6
SRR5936191.012.fasta	86.0%	6671160	47.2
SRR5936191.013.fasta	62.6%	4752712	42.1
SRR5936191.014.fasta	94.4%	1983931	38.3
SRR5936191.015.fasta	75.7%	1059135	44.6
SRR5936191.016.fasta	43.9%	3770433	36.9
SRR5936191.017.fasta	34.6%	4497726	60.7
SRR5936191.018.fasta	43.9%	3813729	55.5
SRR5936191.019.fasta	44.9%	3447138	51.2
SRR5936191.020.fasta	66.4%	1337855	29.1
SRR5936191.021.fasta	61.7%	5079284	48.0
SRR5936191.022.fasta	82.2%	5666292	43.6
SRR5936191.023.fasta	33.6%	1312363	48.1
Bin name	Completeness	Genome size	GC content
SRR5936195.001.fasta	0.9%	201517	47.1
SRR5936195.002.fasta	0.9%	491943	52.6
SRR5936195.003.fasta	70.1%	2794667	43.5
SRR5936195.004.fasta	94.4%	4721271	46.9
SRR5936195.005.fasta	0.0%	369363	34.2
SRR5936195.006.fasta	95.3%	5691121	42.7
SRR5936195.007.fasta	96.3%	2803823	54.6
SRR5936195.008.fasta	95.3%	3048009	54.4
SRR5936195.009.fasta	94.4%	3123752	43.7
SRR5936195.010.fasta	64.5%	4814054	41.5
SRR5936195.011.fasta	58.9%	5859523	49.4
SRR5936195.012.fasta	83.2%	4848331	45.0
SRR5936195.013.fasta	95.3%	2963599	58.4
SRR5936195.014.fasta	50.5%	3841933	58.4
SRR5936195.015.fasta	47.7%	6473425	37.1
SRR5936195.016.fasta	62.6%	7104155	41.3
SRR5936195.017.fasta	57.0%	7107107	44.3
SRR5936195.018.fasta	66.4%	2801366	59.9
SRR5936195.019.fasta	76.6%	7363703	48.6
SRR5936195.020.fasta	51.4%	2187728	59.1
SRR5936195.021.fasta	58.9%	4352689	60.8
Bin name	Completeness	Genome size	GC content
SRR5936222.001.fasta	95.3%	6375419	49.3
SRR5936222.002.fasta	99.1%	2946608	37.9
SRR5936222.003.fasta	94.4%	2670961	26.9
SRR5936222.004.fasta	86.0%	5100545	50.6
SRR5936222.005.fasta	87.9%	5927285	49.2
SRR5936222.006.fasta	96.3%	4752741	29.3
SRR5936222.007.fasta	93.5%	5832711	51.9
SRR5936222.008.fasta	98.1%	4303352	38.5
SRR5936222.009.fasta	44.9%	4279741	58.5
SRR5936222.010.fasta	69.2%	3650666	51.6
SRR5936222.011.fasta	89.7%	4502857	44.0
SRR5936222.012.fasta	57.9%	7522725	51.0
Bin name	Completeness	Genome size	GC content
SRR5946612.001.fasta	0.9%	724736	46.7
SRR5946612.002.fasta	93.5%	4314559	46.0
SRR5946612.003.fasta	93.5%	5102995	41.8
SRR5946612.004.fasta	72.0%	4361285	46.6
SRR5946612.005.fasta	87.9%	6779028	41.7
SRR5946612.006.fasta	99.1%	3365101	54.1
SRR5946612.007.fasta	67.3%	3726226	36.4
SRR5946612.008.fasta	79.4%	5457782	44.5
SRR5946612.009.fasta	88.8%	2623724	56.0
SRR5946612.010.fasta	50.5%	5335459	40.9
SRR5946612.011.fasta	56.1%	3575218	58.3
SRR5946612.012.fasta	43.9%	3582822	62.2
SRR5946612.013.fasta	83.2%	2585006	57.3
SRR5946612.014.fasta	48.6%	4430091	48.4
Bin name	Completeness	Genome size	GC content
SRR5946625.001.fasta	100.0%	5969787	41.6
SRR5946625.002.fasta	74.8%	5221121	47.1
SRR5946625.003.fasta	93.5%	2411567	42.3
SRR5946625.004.fasta	90.7%	3132832	59.0
SRR5946625.005.fasta	54.2%	1387488	52.7
SRR5946625.006.fasta	95.3%	2424901	45.4
SRR5946625.007.fasta	50.5%	4007699	47.2
SRR5946625.008.fasta	56.1%	1504675	56.3
SRR5946625.009.fasta	38.3%	5007491	37.0
SRR5946625.010.fasta	43.9%	2576206	61.2
SRR5946625.011.fasta	45.8%	3795660	52.1
SRR5946625.012.fasta	73.8%	1929943	41.9
SRR5946625.013.fasta	44.9%	3177253	57.9
SRR5946625.014.fasta	72.0%	6040107	41.9
SRR5946625.015.fasta	43.9%	5007760	46.9
SRR5946625.016.fasta	38.3%	1207002	60.6
SRR5946625.017.fasta	71.0%	1916189	61.6
SRR5946625.018.fasta	46.7%	4124999	42.8
Bin name	Completeness	Genome size	GC content
SRR5946640.001.fasta	95.3%	5193457	42.1
SRR5946640.002.fasta	96.3%	5718581	46.2
SRR5946640.003.fasta	43.9%	2284146	53.6
SRR5946640.004.fasta	73.8%	2578469	46.1
SRR5946640.005.fasta	49.5%	3549943	59.3
SRR5946640.006.fasta	33.6%	3526478	37.8
SRR5946640.007.fasta	92.5%	4628913	50.8
SRR5946640.008.fasta	53.3%	3110929	44.3
SRR5946640.009.fasta	65.4%	3195350	43.0
SRR5946640.010.fasta	68.2%	1647579	54.6
Bin name	Completeness	Genome size	GC content
SRR5946650.001.fasta	84.1%	3468153	50.2
SRR5946650.002.fasta	65.4%	8785640	53.1
SRR5946650.003.fasta	57.0%	6255339	52.5
SRR5946650.004.fasta	66.4%	1255083	45.9
SRR5946650.005.fasta	90.7%	6127776	41.2
SRR5946650.006.fasta	15.9%	486480	59.9
Bin name	Completeness	Genome size	GC content
SRR5946675.001.fasta	97.2%	3507849	45.0
SRR5946675.002.fasta	95.3%	4807797	41.9
SRR5946675.003.fasta	100.0%	4326339	41.1
SRR5946675.004.fasta	98.1%	2536695	43.8
SRR5946675.005.fasta	85.0%	4904642	46.0
SRR5946675.006.fasta	18.7%	3949155	36.1
SRR5946675.007.fasta	91.6%	3065623	43.4
SRR5946675.008.fasta	66.4%	4027002	45.6
SRR5946675.009.fasta	93.5%	4587708	50.9
SRR5946675.010.fasta	27.1%	2650731	40.6
SRR5946675.011.fasta	50.5%	4830519	42.9
SRR5946675.012.fasta	56.1%	2295711	56.1
SRR5946675.013.fasta	33.6%	2204580	40.0
SRR5946675.014.fasta	70.1%	7356993	47.4
SRR5946675.015.fasta	25.2%	2254987	41.7
Bin name	Completeness	Genome size	GC content
SRR5946723.001.fasta	96.3%	5375333	41.9
SRR5946723.002.fasta	98.1%	6076943	47.0
SRR5946723.003.fasta	89.7%	2370740	58.4
SRR5946723.004.fasta	85.0%	2473454	43.2
SRR5946723.005.fasta	90.7%	2723215	55.1
SRR5946723.006.fasta	50.5%	2511745	62.6
SRR5946723.007.fasta	46.7%	1846772	59.7
SRR5946723.008.fasta	62.6%	2805640	44.4
SRR5946723.009.fasta	29.0%	3619517	37.3
SRR5946723.010.fasta	40.2%	2722501	54.6
SRR5946723.011.fasta	49.5%	4059050	43.8
Bin name	Completeness	Genome size	GC content
SRR5946749.001.fasta	83.2%	4750021	42.0
SRR5946749.002.fasta	77.6%	5577806	46.6
SRR5946749.003.fasta	100.0%	6747373	41.1
SRR5946749.004.fasta	98.1%	5057620	45.1
SRR5946749.005.fasta	72.9%	9193202	40.2
SRR5946749.006.fasta	57.9%	8462771	45.9
Bin name	Completeness	Genome size	GC content
SRR5946776.001.fasta	0.0%	122428	31.5
SRR5946776.002.fasta	97.2%	3593225	45.0
SRR5946776.003.fasta	9.3%	607479	34.4
SRR5946776.004.fasta	7.5%	1367348	49.4
SRR5946776.005.fasta	67.3%	3489457	42.7
SRR5946776.006.fasta	69.2%	4848950	40.7
SRR5946776.007.fasta	98.1%	2744077	45.0
SRR5946776.008.fasta	79.4%	6810534	47.3
SRR5946776.009.fasta	86.9%	3812809	43.9
SRR5946776.010.fasta	61.7%	7067127	40.4
SRR5946776.011.fasta	57.0%	3097183	58.2
SRR5946776.012.fasta	26.2%	5914024	36.0
SRR5946776.013.fasta	55.1%	1440354	52.9
SRR5946776.014.fasta	67.3%	1703076	56.8
SRR5946776.015.fasta	64.5%	5601434	50.4
SRR5946776.016.fasta	57.0%	6348806	43.4
SRR5946776.017.fasta	59.8%	3650495	45.9
SRR5946776.018.fasta	30.8%	4518765	45.8
SRR5946776.019.fasta	57.9%	5198298	40.9
SRR5946776.020.fasta	76.6%	2326102	55.8
SRR5946776.021.fasta	65.4%	3768493	61.6
SRR5946776.022.fasta	57.0%	2491501	60.0
SRR5946776.023.fasta	80.4%	4401779	44.9
SRR5946776.024.fasta	44.9%	1802498	53.9
Bin name	Completeness	Genome size	GC content
SRR5946780.001.fasta	2.8%	559789	40.4
SRR5946780.002.fasta	92.5%	2836992	60.7
SRR5946780.003.fasta	96.3%	3564306	46.5
SRR5946780.004.fasta	66.4%	4021664	41.2
SRR5946780.005.fasta	22.4%	3199924	49.2
SRR5946780.006.fasta	70.1%	2060597	56.2
SRR5946780.007.fasta	79.4%	2203719	53.2
SRR5946780.008.fasta	53.3%	2682422	58.2
SRR5946780.009.fasta	90.7%	2672330	55.0
SRR5946780.010.fasta	57.9%	3539998	43.0
SRR5946780.011.fasta	72.0%	2670740	60.5
SRR5946780.012.fasta	28.0%	1809754	61.8
SRR5946780.013.fasta	93.5%	2907432	34.1
SRR5946780.014.fasta	27.1%	5676564	37.4
SRR5946780.015.fasta	72.9%	1726867	40.1
SRR5946780.016.fasta	75.7%	4744116	43.1
SRR5946780.017.fasta	56.1%	4718962	42.0
SRR5946780.018.fasta	50.5%	5534005	46.9
SRR5946780.019.fasta	50.5%	2904453	54.8
SRR5946780.020.fasta	64.5%	2474370	42.2
SRR5946780.021.fasta	62.6%	1660807	46.9
Bin name	Completeness	Genome size	GC content
SRR5946797.001.fasta	100.0%	4819248	50.9
SRR5946797.002.fasta	87.9%	2080926	39.8
Bin name	Completeness	Genome size	GC content
SRR5946834.001.fasta	55.1%	3788049	41.8
SRR5946834.002.fasta	93.5%	6613818	45.5
SRR5946834.003.fasta	96.3%	3773023	42.9
SRR5946834.004.fasta	96.3%	3298536	54.0
SRR5946834.005.fasta	86.9%	2859425	61.7
SRR5946834.006.fasta	97.2%	2002326	35.7
SRR5946834.007.fasta	81.3%	8236615	46.6
SRR5946834.008.fasta	80.4%	3308866	58.4
SRR5946834.009.fasta	71.0%	3428828	55.6
SRR5946834.010.fasta	76.6%	8154372	40.4
SRR5946834.011.fasta	61.7%	2109472	62.3
Bin name	Completeness	Genome size	GC content
SRR5946889.001.fasta	0.0%	356347	43.3
SRR5946889.002.fasta	36.4%	2315156	44.1
SRR5946889.003.fasta	58.9%	3363597	39.9
SRR5946889.004.fasta	86.9%	2997982	57.3
SRR5946889.005.fasta	99.1%	2564828	45.3
SRR5946889.006.fasta	86.0%	6247996	47.1
SRR5946889.007.fasta	50.5%	4564282	40.6
SRR5946889.008.fasta	94.4%	3484646	44.5
SRR5946889.009.fasta	58.9%	2857211	47.8
SRR5946889.010.fasta	46.7%	3524644	59.5
SRR5946889.011.fasta	8.4%	685226	62.7
SRR5946889.012.fasta	10.3%	1249302	60.3
SRR5946889.013.fasta	4.7%	526335	64.8
SRR5946889.014.fasta	94.4%	3082381	58.5
SRR5946889.015.fasta	29.9%	3448157	52.8
SRR5946889.016.fasta	50.5%	3625241	43.0
SRR5946889.017.fasta	30.8%	6882235	35.2
SRR5946889.018.fasta	73.8%	10011975	42.9
SRR5946889.019.fasta	51.4%	5264416	39.1
SRR5946889.020.fasta	42.1%	1196154	37.7
SRR5946889.021.fasta	66.4%	1480018	38.6
SRR5946889.022.fasta	51.4%	2911796	41.5
SRR5946889.023.fasta	12.1%	1916447	36.1
SRR5946889.024.fasta	69.2%	7046324	46.2
SRR5946889.025.fasta	44.9%	3719135	40.1
SRR5946889.026.fasta	73.8%	2898182	56.2
SRR5946889.027.fasta	58.9%	2562319	43.5
Bin name	Completeness	Genome size	GC content
SRR5946915.001.fasta	100.0%	5635341	42.3
SRR5946915.002.fasta	91.6%	5292995	44.0
SRR5946915.003.fasta	78.5%	1810516	50.6
SRR5946915.004.fasta	36.4%	5352461	38.3
SRR5946915.005.fasta	61.7%	7609182	44.3
SRR5946915.006.fasta	70.1%	5709065	50.6
SRR5946915.007.fasta	81.3%	1749229	61.3
Bin name	Completeness	Genome size	GC content
SRR5946923.001.fasta	6.5%	625119	43.4
SRR5946923.002.fasta	85.0%	5079995	40.1
SRR5946923.003.fasta	92.5%	4707624	44.5
SRR5946923.004.fasta	74.8%	4188407	56.8
SRR5946923.005.fasta	48.6%	1664499	61.0
SRR5946923.006.fasta	75.7%	4754960	41.2
SRR5946923.007.fasta	88.8%	7524947	46.7
SRR5946923.008.fasta	92.5%	4303376	42.8
SRR5946923.009.fasta	39.3%	2572925	60.8
SRR5946923.010.fasta	96.3%	2496769	45.5
SRR5946923.011.fasta	30.8%	3212242	59.8
SRR5946923.012.fasta	66.4%	6811846	35.9
SRR5946923.013.fasta	70.1%	3716718	47.9
SRR5946923.014.fasta	29.0%	3879312	52.0
SRR5946923.015.fasta	90.7%	2159523	55.1
SRR5946923.016.fasta	70.1%	9257855	40.5
SRR5946923.017.fasta	72.0%	1646707	38.6
SRR5946923.018.fasta	54.2%	2160396	43.5
SRR5946923.019.fasta	91.6%	3545235	58.0
SRR5946923.020.fasta	80.4%	2340922	37.6
SRR5946923.021.fasta	60.7%	8076954	45.2
Bin name	Completeness	Genome size	GC content
SRR5946925.001.fasta	100.0%	5265667	42.1
SRR5946925.002.fasta	98.1%	5402894	46.5
SRR5946925.003.fasta	96.3%	2787226	61.5
SRR5946925.004.fasta	98.1%	2778651	54.2
SRR5946925.005.fasta	86.9%	3517675	47.7
SRR5946925.006.fasta	90.7%	6789144	46.3
SRR5946925.007.fasta	74.8%	1798717	47.1
SRR5946925.008.fasta	74.8%	4320603	59.4
SRR5946925.009.fasta	32.7%	3033182	42.1
SRR5946925.010.fasta	41.1%	6828504	36.9
SRR5946925.011.fasta	55.1%	3282749	45.0
SRR5946925.012.fasta	71.0%	6549352	41.1
SRR5946925.013.fasta	47.7%	2860924	53.3
SRR5946925.014.fasta	31.8%	5423696	43.7
SRR5946925.015.fasta	51.4%	1894215	43.4
Bin name	Completeness	Genome size	GC content
SRR5947008.001.fasta	99.1%	2275112	39.0
SRR5947008.002.fasta	87.9%	3057075	40.4
SRR5947008.003.fasta	91.6%	7276003	52.9
SRR5947008.004.fasta	64.5%	1761134	32.6
Bin name	Completeness	Genome size	GC content
SRR5947101.001.fasta	1.9%	281516	45.6
SRR5947101.002.fasta	93.5%	4132060	45.7
SRR5947101.003.fasta	95.3%	4672003	41.4
SRR5947101.004.fasta	93.5%	6280620	41.8
SRR5947101.005.fasta	72.0%	4703967	46.2
SRR5947101.006.fasta	84.1%	6845756	41.4
SRR5947101.007.fasta	81.3%	4900255	47.8
Bin name	Completeness	Genome size	GC content
SRR5947834.001.fasta	62.6%	3876371	46.2
SRR5947834.002.fasta	95.3%	3309324	58.0
SRR5947834.003.fasta	85.0%	5363539	46.3
SRR5947834.004.fasta	65.4%	5104360	41.1
SRR5947834.005.fasta	93.5%	4521839	49.5
SRR5947834.006.fasta	60.7%	2207147	56.5
SRR5947834.007.fasta	59.8%	1765561	58.2
Bin name	Completeness	Genome size	GC content
SRR5947869.001.fasta	74.8%	3088203	42.8
SRR5947869.002.fasta	100.0%	6472070	43.4
SRR5947869.003.fasta	94.4%	2832012	57.8
SRR5947869.004.fasta	57.0%	4433282	47.3
SRR5947869.005.fasta	99.1%	5233714	41.9
SRR5947869.006.fasta	99.1%	1729433	47.9
SRR5947869.007.fasta	86.0%	3725963	48.9
SRR5947869.008.fasta	62.6%	4108435	47.4
SRR5947869.009.fasta	96.3%	2275340	54.9
SRR5947869.010.fasta	57.0%	3762989	43.9
SRR5947869.011.fasta	47.7%	3821821	41.4
SRR5947869.012.fasta	89.7%	2998666	43.9
SRR5947869.013.fasta	80.4%	4752752	59.5
SRR5947869.014.fasta	22.4%	5259836	37.2
SRR5947869.015.fasta	29.0%	3472483	51.4
SRR5947869.016.fasta	88.8%	3645936	38.1
SRR5947869.017.fasta	37.4%	3697685	43.4
SRR5947869.018.fasta	53.3%	1368009	44.1
SRR5947869.019.fasta	85.0%	3000916	38.3
SRR5947869.020.fasta	40.2%	2012172	49.2
SRR5947869.021.fasta	72.0%	4278042	43.6
SRR5947869.022.fasta	72.0%	2195845	60.2
Bin name	Completeness	Genome size	GC content
SRR5983315.001.fasta	100.0%	5250120	41.7
SRR5983315.002.fasta	94.4%	2722389	47.6
SRR5983315.003.fasta	99.1%	2589265	54.0
SRR5983315.004.fasta	99.1%	6405430	42.9
SRR5983315.005.fasta	95.3%	2688166	55.7
SRR5983315.006.fasta	50.5%	2212437	54.6
SRR5983315.007.fasta	81.3%	3241191	60.9
SRR5983315.008.fasta	63.6%	2776869	59.8
SRR5983315.009.fasta	38.3%	2109300	63.0
SRR5983315.010.fasta	94.4%	1946093	62.0
SRR5983315.011.fasta	42.1%	1872437	39.4
SRR5983315.012.fasta	62.6%	2406992	47.9
SRR5983315.013.fasta	75.7%	3209293	46.6
Bin name	Completeness	Genome size	GC content
